names,year,Certificate,Runtime,Genre,Rating,Overview,Director,Budget,Revenue
Gake no ue no Ponyo,2008,U,101,"Animation, Adventure, Comedy",7.7,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.",Hayao Miyazaki,49280737,77554988
Frost/Nixon,2008,R,122,"Biography, Drama, History",7.7,A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.,Ron Howard,55258285,30018823
Papurika,2006,U,90,"Animation, Drama, Fantasy",7.7,"When a machine that allows therapists to enter their patients' dreams is stolen, all Hell breaks loose. Only a young female therapist, Paprika, can stop it.",Satoshi Kon,72700306,86754101
Changeling,2008,R,141,"Biography, Crime, Drama",7.7,Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when it tries to pass off an obvious impostor as her missing child.,Clint Eastwood,91340729,66212097
Flipped,2010,PG,90,"Comedy, Drama, Romance",7.7,Two eighth-graders start to have feelings for each other despite being total opposites.,Rob Reiner,23181512,15796857
Toki o kakeru shôjo,2006,U,98,"Animation, Adventure, Comedy",7.7,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own.",Mamoru Hosoda,46817863,28933080
Death Note: Desu nôto,2006,,126,"Crime, Drama, Fantasy",7.7,"A battle between the world's two greatest ds begins when Light Yagami finds the Death Note, a notebook with the power to kill, and decides to rid the world of crials.",Shûsuke Kaneko,58023031,20976688
This Is England,2006,,101,"Crime, Drama",7.7,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.",Shane Meadows,40420124,21359539
Ex Machina,2014,UA,108,"Drama, Sci-Fi, Thriller",7.7,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,Alex Garland,89508407,93294577
Efter brylluppet,2006,R,120,Drama,7.7,"A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret.",Susanne Bier,30311021,52325630
The Last King of Scotland,2006,R,123,"Biography, Drama, History",7.7,Based on the events of the brutal Ugandan dictator Idi A's regime as seen by his personal physician during the 1970s.,Kevin Macdonald,32629649,78600875
Zodiac,2007,UA,157,"Crime, Drama, Mystery",7.7,"In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",David Fincher,42682736,11854426
Lucky Number Slevin,2006,R,110,"Action, Crime, Drama",7.7,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",Paul McGuigan,99950997,85957127
Joyeux Noël,2005,PG-13,116,"Drama, History, Music",7.7,"In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life.",Christian Carion,99991969,45248159
Control,2007,R,122,"Biography, Drama, Music",7.7,"A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to commit suicide at the age of 23.",Anton Corbijn,79386553,36180908
Tangled,2010,U,100,"Animation, Adventure, Comedy",7.7,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",Nathan Greno,76306136,60380256
Zwartboek,2006,R,145,"Drama, Thriller, War",7.7,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.",Paul Verhoeven,11860998,94786505
Brokeback Mountain,2005,A,134,"Drama, Romance",7.7,"The story of a forbidden and secretive relationship between two cowboys, and their lives over the years.",Ang Lee,90281374,82345541
3:10 to Yuma,2007,A,122,"Action, Crime, Drama",7.7,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,James Mangold,95942605,56640582
Crash,2004,UA,112,"Crime, Drama, Thriller",7.7,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",Paul Haggis,30527272,36158552
Kung fu,2004,UA,99,"Action, Comedy, Fantasy",7.7,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf.",Stephen Chow,17683596,77719493
The Bourne Supremacy,2004,A,108,"Action, Mystery, Thriller",7.7,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",Paul Greengrass,78792762,94646884
The Machinist,2004,R,101,"Drama, Thriller",7.7,An industrial worker who hasn't slept in a year begins to doubt his own sanity.,Brad Anderson,98637912,41944854
Ray,2004,A,152,"Biography, Drama, Music",7.7,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.",Taylor Hackford,74918453,89492688
Lost in Translation,2003,UA,102,"Comedy, Drama",7.7,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,Sofia Coppola,69209238,37232070
Harry Potter and the Goblet of Fire,2005,UA,157,"Adventure, Family, Fantasy",7.7,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",Mike Newell,77956433,39818242
Man on Fire,2004,UA,146,"Action, Crime, Drama",7.7,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",Tony Scott,98812250,56410556
Coraline,2009,U,100,"Animation, Drama, Family",7.7,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",Henry Selick,61600043,86660731
The Last Samurai,2003,UA,154,"Action, Drama",7.7,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,Edward Zwick,79238490,51117150
The Magdalene Sisters,2002,R,114,Drama,7.7,Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum.,Peter Mullan,35905173,21455714
Good Bye Lenin!,2003,R,121,"Comedy, Drama, Romance",7.7,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared.",Wolfgang Becker,43469881,40381154
In America,2002,PG-13,105,Drama,7.7,A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.,Jim Sheridan,20263111,83018959
I Am Sam,2001,PG-13,132,Drama,7.7,A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.,Jessie Nelson,13324826,84183548
Adaptation.,2002,R,115,"Comedy, Drama",7.7,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.,Spike Jonze,66487227,91495900
Black Hawk Down,2001,A,144,"Drama, History, War",7.7,160 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis.,Ridley Scott,22527644,11787608
Road to Perdition,2002,A,117,"Crime, Drama, Thriller",7.7,"A mob enforcer's son witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",Sam Mendes,45938927,46089920
Das Experiment,2001,R,120,"Drama, Thriller",7.7,"For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seegly mild rules, and the ""guards"" are told to retain order without using physical violence.",Oliver Hirschbiegel,44805990,88559487
Billy Elliot,2000,R,110,"Drama, Music",7.7,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.,Stephen Daldry,57355656,92584940
Hedwig and the Angry Inch,2001,R,95,"Comedy, Drama, Music",7.7,A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.,John Cameron Mitchell,45335164,69163321
Ocean's Eleven,2001,UA,116,"Crime, Thriller",7.7,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,Steven Soderbergh,69858185,96344936
Vampire Hunter D: Bloodlust,2000,U,103,"Animation, Action, Fantasy",7.7,"When a girl is abducted by a vampire, a legendary bounty hunter is hired to bring her back.",Yoshiaki Kawajiri,44345572,23134564
"O Brother, Where Art Thou?",2000,U,107,"Adventure, Comedy, Crime",7.7,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",Joel Coen,66670965,65167319
Interstate 60: Episodes of the Road,2002,R,116,"Adventure, Comedy, Drama",7.7,"Neal Oliver, a very confused young man and an artist, takes a journey of a lifetime on a highway I60 that doesn't exist on any of the maps, going to the places he never even heard of, searching for an answer and his dreamgirl.",Bob Gale,47684039,88926227
"South Park: Bigger, Longer & Uncut",1999,A,81,"Animation, Comedy, Fantasy",7.7,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame.",Trey Parker,73649614,14740690
Office Space,1999,R,89,Comedy,7.7,Three company workers who hate their jobs decide to rebel against their greedy boss.,Mike Judge,95010631,18645671
Happiness,1998,,134,"Comedy, Drama",7.7,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection.",Todd Solondz,15024016,92045251
Training Day,2001,A,122,"Crime, Drama, Thriller",7.7,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,Antoine Fuqua,46248792,93998951
Rushmore,1998,UA,93,"Comedy, Drama, Romance",7.7,The extracurricular king of Rushmore Preparatory School is put on academic probation.,Wes Anderson,30244078,40460138
Abre los ojos,1997,U,119,"Drama, Mystery, Sci-Fi",7.7,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured.",Alejandro Amenábar,30579073,26863041
Being John Malkovich,1999,R,113,"Comedy, Drama, Fantasy",7.7,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,Spike Jonze,54379320,78588512
As Good as It Gets,1997,A,139,"Comedy, Drama, Romance",7.7,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",James L. Brooks,33318859,15330640
The Fifth Element,1997,UA,126,"Action, Adventure, Sci-Fi",7.7,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",Luc Besson,24150953,11442821
Le dîner de cons,1998,PG-13,80,Comedy,7.7,"A few friends have a weekly fools' dinner, where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise.",Francis Veber,37350741,18884023
Donnie Brasco,1997,A,127,"Biography, Crime, Drama",7.7,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.",Mike Newell,73709669,64826936
Shine,1996,U,105,"Biography, Drama, Music",7.7,"Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim.",Scott Hicks,49835310,35791837
Primal Fear,1996,A,129,"Crime, Drama, Mystery",7.7,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep.",Gregory Hoblit,94843515,60938820
Hamlet,1996,PG-13,242,Drama,7.7,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing.",Kenneth Branagh,12597885,63459934
A Little Princess,1995,U,97,"Drama, Family, Fantasy",7.7,A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead.,Alfonso Cuarón,45053640,16963482
Do lok tin si,1995,UA,99,"Comedy, Crime, Drama",7.7,"This Hong Kong-set crime drama follows the lives of a hitman, hoping to get out of the business, and his elusive female partner.",Kar-Wai Wong,50115327,63266947
Il postino,1994,U,108,"Biography, Comedy, Drama",7.7,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.",Michael Radford,17961274,49113869
Clerks,1994,R,92,Comedy,7.7,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",Kevin Smith,53582768,64424954
Short Cuts,1993,R,188,"Comedy, Drama",7.7,The day-to-day lives of several suburban Los Angeles residents.,Robert Altman,95612102,95308068
Philadelphia,1993,UA,125,Drama,7.7,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.",Jonathan Demme,81669749,89696550
The Muppet Christmas Carol,1992,G,85,"Comedy, Drama, Family",7.7,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,Brian Henson,49186723,73462307
Malcolm X,1992,U,202,"Biography, Drama, History",7.7,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his istry as a member of the Nation of Islam.",Spike Lee,89850965,94530384
The Last of the Mohicans,1992,UA,112,"Action, Adventure, Drama",7.7,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,Michael Mann,45808575,48855130
Kurenai no buta,1992,U,94,"Animation, Adventure, Comedy",7.7,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig.",Hayao Miyazaki,23201817,61024057
Glengarry Glen Ross,1992,R,100,"Crime, Drama, Mystery",7.7,An exaation of the machinations behind the scenes at a real estate office.,James Foley,40273230,62021860
A Few Good Men,1992,U,138,"Drama, Thriller",7.7,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.,Rob Reiner,50945957,69301686
Fried Green Tomatoes,1991,PG-13,130,Drama,7.7,A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.,Jon Avnet,98829067,39435622
Barton Fink,1991,U,116,"Comedy, Drama, Thriller",7.7,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,Joel Coen,41546701,18798914
Miller's Crossing,1990,R,115,"Crime, Drama, Thriller",7.7,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",Joel Coen,35497038,26588649
Who Framed Roger Rabbit,1988,U,104,"Animation, Adventure, Comedy",7.7,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.,Robert Zemeckis,88473713,79991804
Spoorloos,1988,,107,"Mystery, Thriller",7.7,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor.",George Sluizer,44055215,19973092
Withnail & I,1987,R,107,"Comedy, Drama",7.7,"In 1969, two substance-abusing, unemployed actors retreat to the countryside for a holiday that proves disastrous.",Bruce Robinson,32122586,39705303
The Last Emperor,1987,U,163,"Biography, Drama, History",7.7,The story of the final Emperor of China.,Bernardo Bertolucci,74969998,13214521
Empire of the Sun,1987,U,153,"Action, Drama, History",7.7,A young English boy struggles to survive under Japanese occupation during World War II.,Steven Spielberg,25499402,69519761
Der Name der Rose,1986,R,130,"Crime, Drama, Mystery",7.7,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.,Jean-Jacques Annaud,64689597,97022527
Blue Velvet,1986,A,120,"Drama, Mystery, Thriller",7.7,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic crials who have kidnapped her child.",David Lynch,52307247,52519452
The Purple Rose of Cairo,1985,U,82,"Comedy, Fantasy, Romance",7.7,"In New Jersey in 1935, a movie character walks off the screen and into the real world.",Woody Allen,85829194,92491032
After Hours,1985,UA,97,"Comedy, Crime, Drama",7.7,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop.,Martin Scorsese,22133830,28851713
Zelig,1983,PG,79,Comedy,7.7,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people.",Woody Allen,39402842,56718212
The Verdict,1982,U,129,Drama,7.7,A lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.,Sidney Lumet,94137814,15300046
Star Trek II: The Wrath of Khan,1982,U,113,"Action, Adventure, Sci-Fi",7.7,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",Nicholas Meyer,66102792,49079988
First Blood,1982,A,93,"Action, Adventure",7.7,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,Ted Kotcheff,60378812,73470384
Ordinary People,1980,U,124,Drama,7.7,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son.",Robert Redford,90834901,66176840
Airplane!,1980,U,88,Comedy,7.7,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.,Jim Abrahams,38249642,47672498
Rupan sansei: Kariosutoro no shiro,1979,U,100,"Animation, Adventure, Family",7.7,"A dashing thief, his gang of desperadoes and an intrepid policeman struggle to free a princess from an evil count's clutches, and learn the hidden secret to a fabulous treasure that she holds part of a key to.",Hayao Miyazaki,82836570,35987473
Halloween,1978,A,91,"Horror, Thriller",7.7,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",John Carpenter,28804369,34374032
Le locataire,1976,R,126,"Drama, Thriller",7.7,A bureaucrat rents a Paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia.,Roman Polanski,96988068,23696692
Love and Death,1975,PG,85,"Comedy, War",7.7,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.",Woody Allen,80035801,18637297
The Taking of Pelham One Two Three,1974,U,104,"Action, Crime, Thriller",7.7,"In New York, armed men hijack a subway car and demand a ransom for the passengers. Even if it's paid, how could they get away?",Joseph Sargent,83446895,81127246
Blazing Saddles,1974,A,93,"Comedy, Western",7.7,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary.",Mel Brooks,14870545,16612208
Serpico,1973,A,130,"Biography, Crime, Drama",7.7,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,Sidney Lumet,50578513,57414665
Enter the Dragon,1973,A,102,"Action, Crime, Drama",7.7,A secret agent comes to an opium lord's island fortress with other fighters for a martial-arts tournament.,Robert Clouse,75814322,96371360
Deliverance,1972,U,109,"Adventure, Drama, Thriller",7.7,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",John Boorman,65587431,55315380
The French Connection,1971,A,104,"Action, Crime, Drama",7.7,A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.,William Friedkin,20692367,24159528
Dirty Harry,1971,A,102,"Action, Crime, Thriller",7.7,"When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath.",Don Siegel,71583816,77784906
Where Eagles Dare,1968,U,158,"Action, Adventure, War",7.7,"Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on.",Brian G. Hutton,27717345,38425595
The Odd Couple,1968,G,105,Comedy,7.7,"Two friends try sharing an apartment, but their ideas of housekeeping and lifestyles are as different as night and day.",Gene Saks,46990146,45426246
The Dirty Dozen,1967,,150,"Action, Adventure, War",7.7,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.",Robert Aldrich,75145635,58679060
Belle de jour,1967,A,100,"Drama, Romance",7.7,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,Luis Buñuel,22963320,52154625
A Man for All Seasons,1966,U,120,"Biography, Drama, History",7.7,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.",Fred Zinnemann,69702552,99777892
Repulsion,1965,,105,"Drama, Horror, Thriller",7.7,A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.,Roman Polanski,97546088,96416476
Zulu,1964,U,138,"Drama, History, War",7.7,Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.,Cy Endfield,44853931,72680772
Goldfinger,1964,A,110,"Action, Adventure, Thriller",7.7,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaate the Fort Knox gold reserve.",Guy Hamilton,57677232,54252065
The Birds,1963,A,119,"Drama, Horror, Mystery",7.7,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,Alfred Hitchcock,74848079,88204902
Cape Fear,1962,Passed,106,"Drama, Thriller",7.7,A lawyer's family is stalked by a man he once helped put in jail.,J. Lee Thompson,71472633,41093744
Peeping Tom,1960,,101,"Drama, Horror, Thriller",7.7,"A young man murders women, using a movie camera to film their dying expressions of terror.",Michael Powell,29140836,66349177
The Magnificent Seven,1960,Approved,128,"Action, Adventure, Western",7.7,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.,John Sturges,94593267,95334168
Les yeux sans visage,1960,,90,"Drama, Horror",7.7,"A surgeon causes an accident which leaves his daughter disfigured, and goes to extremes to give her a new face.",Georges Franju,20350438,24450088
Invasion of the Body Snatchers,1956,Approved,80,"Drama, Horror, Sci-Fi",7.7,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,Don Siegel,85922924,55120905
Rebel Without a Cause,1955,PG-13,111,Drama,7.7,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",Nicholas Ray,17181692,83813479
The Ladykillers,1955,,91,"Comedy, Crime",7.7,Five oddball crials planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.,Alexander Mackendrick,76762667,34484309
Sabrina,1954,Passed,113,"Comedy, Drama, Romance",7.7,"A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.",Billy Wilder,63246481,46105830
The Quiet Man,1952,Passed,129,"Comedy, Drama, Romance",7.7,"A retired American boxer returns to the village of his birth in Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.",John Ford,14769858,51281162
The Day the Earth Stood Still,1951,U,92,"Drama, Sci-Fi",7.7,An alien lands and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.,Robert Wise,33229759,19019761
The African Queen,1951,PG,105,"Adventure, Drama, Romance",7.7,"In WWI Africa, a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship.",John Huston,89005138,61056416
Gilda,1946,Approved,110,"Drama, Film-Noir, Romance",7.7,A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover.,Charles Vidor,85753485,96487017
Fantasia,1940,G,125,"Animation, Family, Fantasy",7.7,A collection of animated interpretations of great works of Western classical music.,James Algar,83816443,81985588
The Invisible Man,1933,TV-PG,71,"Horror, Sci-Fi",7.7,"A scientist finds a way of becog invisible, but in doing so, he becomes murderously insane.",James Whale,74154763,73380482
Dark Waters,2019,PG-13,126,"Biography, Drama, History",7.6,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,Todd Haynes,17992432,21192765
Searching,2018,U/A,102,"Drama, Mystery, Thriller",7.6,"After his teenage daughter goes missing, a desperate father tries to find clues on her laptop.",Aneesh Chaganty,30327131,90714475
Once Upon a Time... in Hollywood,2019,A,161,"Comedy, Drama",7.6,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,Quentin Tarantino,25106296,96516664
Nelyubov,2017,R,127,Drama,7.6,A couple going through a divorce must team up to find their son who has disappeared during one of their bitter arguments.,Andrey Zvyagintsev,89199806,74843721
The Florida Project,2017,A,111,Drama,7.6,"Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World.",Sean Baker,41555437,69798357
Just Mercy,2019,A,137,"Biography, Crime, Drama",7.6,World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.,Destin Daniel Cretton,85206205,50619012
Gifted,2017,PG-13,101,Drama,7.6,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",Marc Webb,70250256,84935986
The Peanut Butter Falcon,2019,PG-13,97,"Adventure, Comedy, Drama",7.6,Zak runs away from his care home to make his dream of becog a wrestler come true.,Tyler Nilson,58412533,54111942
Victoria,2015,,138,"Crime, Drama, Romance",7.6,A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,Sebastian Schipper,93422120,79939389
Mustang,2015,PG-13,97,Drama,7.6,"When five orphan girls are seen innocently playing with boys on a beach, their scandalized conservative guardians confine them while forced marriages are arranged.",Deniz Gamze Ergüven,41788214,47027445
Guardians of the Galaxy Vol. 2,2017,UA,136,"Action, Adventure, Comedy",7.6,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",James Gunn,47345325,13488131
Baby Driver,2017,UA,113,"Action, Crime, Drama",7.6,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",Edgar Wright,49441709,95376185
Only the Brave,2017,UA,134,"Action, Biography, Drama",7.6,"Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire.",Joseph Kosinski,50728142,25647845
Bridge of Spies,2015,UA,142,"Drama, History, Thriller",7.6,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",Steven Spielberg,28885136,95583999
Incredibles 2,2018,UA,118,"Animation, Action, Adventure",7.6,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,Brad Bird,82938942,40655761
Moana,2016,U,107,"Animation, Adventure, Comedy",7.6,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",Ron Clements,29894769,11798532
Sicario,2015,A,121,"Action, Crime, Drama",7.6,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,Denis Villeneuve,51806535,97749154
Creed,2015,A,133,"Drama, Sport",7.6,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",Ryan Coogler,92021829,21348460
Leviafan,2014,R,140,"Crime, Drama",7.6,"In a Russian coastal town, Kolya is forced to fight the corrupt mayor when he is told that his house will be demolished. He recruits a lawyer friend to help, but the man's arrival brings further misfortune for Kolya and his family.",Andrey Zvyagintsev,45429890,93782681
Hell or High Water,2016,R,102,"Action, Crime, Drama",7.6,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,David Mackenzie,27922734,66555309
Philomena,2013,PG-13,98,"Biography, Comedy, Drama",7.6,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.",Stephen Frears,83103016,11984194
Dawn of the Planet of the Apes,2014,UA,130,"Action, Adventure, Drama",7.6,A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.,Matt Reeves,56105836,15817421
El cuerpo,2012,,112,"Mystery, Thriller",7.6,A detective searches for the body of a femme fatale which has gone missing from a morgue.,Oriol Paulo,46966037,25075889
Serbuan maut,2011,A,101,"Action, Thriller",7.6,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,Gareth Evans,87283244,44057636
End of Watch,2012,A,109,"Action, Crime, Drama",7.6,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet crial forces greater than themselves.",David Ayer,10268579,79702306
